lat,long,location,count
42.2324133,-71.12971531,(42.23241330 -71.12971531),10
42.23265556,-71.13069992,(42.23265556 -71.13069992),3
42.23287025,-71.13004959,(42.23287025 -71.13004959),5
42.23290729,-71.13167059,(42.23290729 -71.13167059),3
42.2330858,-71.12815697,(42.23308580 -71.12815697),15
42.23312147,-71.13102697,(42.23312147 -71.13102697),2
42.23315741,-71.13265354,(42.23315741 -71.13265354),10
42.23334151,-71.13368781,(42.23334151 -71.13368781),5
42.23337226,-71.13200359,(42.23337226 -71.13200359),7
42.23346994,-71.13862962,(42.23346994 -71.13862962),1
42.23357448,-71.12917748,(42.23357448 -71.12917748),4
42.23358147,-71.13453781,(42.23358147 -71.13453781),1
42.23362594,-71.13299328,(42.23362594 -71.13299328),1
42.23371303,-71.13129839,(42.23371303 -71.13129839),7
42.23375394,-71.13349324,(42.23375394 -71.13349324),1
42.23382322,-71.13015658,(42.23382322 -71.13015658),8
42.23386405,-71.13392333,(42.23386405 -71.13392333),1
42.23396095,-71.13228408,(42.23396095 -71.13228408),3
42.23405146,-71.13882916,(42.23405146 -71.13882916),23
42.23421715,-71.13327736,(42.23421715 -71.13327736),6
42.23429066,-71.12834199,(42.23429066 -71.12834199),2
42.23430215,-71.13158084,(42.23430215 -71.13158084),2
42.23452842,-71.12928352,(42.23452842 -71.12928352),2
42.2345432,-71.1309149,(42.23454320 -71.13091490),2
42.23455259,-71.13256874,(42.23455259 -71.13256874),2
42.23477776,-71.13025716,(42.23477776 -71.13025716),5
42.23480079,-71.13396522,(42.23480079 -71.13396522),7
42.23483513,-71.12773597,(42.23483513 -71.12773597),7
42.23490232,-71.13791008,(42.23490232 -71.13791008),20
42.23496335,-71.12962264,(42.23496335 -71.12962264),1
42.23504691,-71.13289238,(42.23504691 -71.13289238),11
42.23519372,-71.12799499,(42.23519372 -71.12799499),2
42.23520062,-71.12916993,(42.23520062 -71.12916993),1
42.23541409,-71.13272569,(42.23541409 -71.13272569),1
42.23546565,-71.13728527,(42.23546565 -71.13728527),1
42.23550153,-71.12551848,(42.23550153 -71.12551848),1
42.23552076,-71.13315135,(42.23552076 -71.13315135),2
42.23567221,-71.12597459,(42.23567221 -71.12597459),3
42.23575345,-71.12558202,(42.23575345 -71.12558202),1
42.2357641,-71.12623564,(42.23576410 -71.12623564),3
42.23578713,-71.13034026,(42.23578713 -71.13034026),27
42.23582689,-71.13686223,(42.23582689 -71.13686223),11
42.23583053,-71.12921886,(42.23583053 -71.12921886),5
42.23591132,-71.12710162,(42.23591132 -71.12710162),4
42.23603929,-71.12718154,(42.23603929 -71.12718154),35
42.23604809,-71.131313,(42.23604809 -71.13131300),21
42.23617932,-71.12812972,(42.23617932 -71.12812972),5
42.23628029,-71.12859233,(42.23628029 -71.12859233),2
42.23631051,-71.13231083,(42.23631051 -71.13231083),45
42.23638294,-71.12895989,(42.23638294 -71.12895989),2
42.23640083,-71.13625139,(42.23640083 -71.13625139),5
42.23649723,-71.12935123,(42.23649723 -71.12935123),10
42.23651386,-71.12503429,(42.23651386 -71.12503429),3
42.23651388,-71.13317161,(42.23651388 -71.13317161),38
42.23661152,-71.12974258,(42.23661152 -71.12974258),1
42.23666732,-71.12993363,(42.23666732 -71.12993363),3
42.23674093,-71.13019536,(42.23674093 -71.13019536),6
42.2368647,-71.12859139,(42.23686470 -71.12859139),17
42.2370095,-71.12956606,(42.23700950 -71.12956606),1
42.23707712,-71.13141342,(42.23707712 -71.13141342),19
42.2372097,-71.13190786,(42.23720970 -71.13190786),10
42.23727444,-71.12624263,(42.23727444 -71.12624263),46
42.23730137,-71.13232346,(42.23730137 -71.13232346),29
42.23739303,-71.13273907,(42.23739303 -71.13273907),7
42.23755192,-71.13034635,(42.23755192 -71.13034635),8
42.2376579,-71.13829126,(42.23765790 -71.13829126),14
42.23771856,-71.13231767,(42.23771856 -71.13231767),8
42.23796336,-71.13154728,(42.23796336 -71.13154728),11
42.23797683,-71.13000944,(42.23797683 -71.13000944),12
42.23798912,-71.13535351,(42.23798912 -71.13535351),2
42.23812523,-71.13528115,(42.23812523 -71.13528115),8
42.23821291,-71.1356714,(42.23821291 -71.13567140),3
42.23842358,-71.13512185,(42.23842358 -71.13512185),3
42.23850959,-71.13277923,(42.23850959 -71.13277923),33
42.23856857,-71.13576271,(42.23856857 -71.13576271),1
42.23861212,-71.13691336,(42.23861212 -71.13691336),8
42.23868787,-71.13487885,(42.23868787 -71.13487885),2
42.23880605,-71.13536644,(42.23880605 -71.13536644),1
42.23881016,-71.13450429,(42.23881016 -71.13450429),1
42.23892422,-71.13585403,(42.23892422 -71.13585403),2
42.2391354,-71.13397939,(42.23913540 -71.13397939),1
42.23915557,-71.13855577,(42.23915557 -71.13855577),3
42.23924089,-71.13210757,(42.23924089 -71.13210757),23
42.23935616,-71.13258084,(42.23935616 -71.13258084),2
42.23949178,-71.13595442,(42.23949178 -71.13595442),10
42.23951493,-71.13964409,(42.23951493 -71.13964409),4
42.23967781,-71.13379687,(42.23967781 -71.13379687),5
42.23982523,-71.1405853,(42.23982523 -71.14058530),3
42.23997571,-71.13895907,(42.23997571 -71.13895907),2
42.24003544,-71.12539334,(42.24003544 -71.12539334),3
42.24004186,-71.13753264,(42.24004186 -71.13753264),1
42.24004714,-71.14126069,(42.24004714 -71.14126069),6
42.24005118,-71.13578825,(42.24005118 -71.13578825),1
42.24018427,-71.1416771,(42.24018427 -71.14167710),1
42.24022026,-71.13656386,(42.24022026 -71.13656386),5
42.24025009,-71.13566985,(42.24025009 -71.13566985),3
