Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
Mai Cuisine,ALLSTON,,,,3,,3
Liuyishon Hotpot Boston,BOSTON,,,,3,3,3
Limelight Stage & Studios,BOSTON,,,,3,,3
Courtyard Boston Downtown Market,BOSTON,,,,3,,3
The Gift Shop @ ISBCC,ROXBURY,0,1,3,3,3,2.583333333
Bartleby's Seitan Stand,BOSTON,,,,2.5625,,2.5625
Hot & Spicy,EAST BOSTON,,,0,3,,2.4
Savory Truck,BOSTON,2,2.6,2.4,3,,2.387096774
Delight Corner,BOSTON,2.411764706,2.5,3,0.5,3,2.37037037
The One Sushi Inc.,MISSION HILL,,,,3,2,2.333333333
The Spaht,BOSTON,,,,2.333333333,,2.333333333
Rebecca's Cafe @ Reggie Lewis,MISSION HILL,,,,2.333333333,,2.333333333
Bon Appetit Creperie,BOSTON,,,,2.333333333,,2.333333333
Poke Bar & Kitchen,BOSTON,,,,0,2.5,2.307692308
Bunker Hill Market,CHARLESTOWN,,0,3,1,2.333333333,2.266666667
Avana Market Place,BOSTON,2.454545455,0,2.571428571,2.153846154,,2.245614035
Renegades Pub,BOSTON,,,1.818181818,3,3,2.235294118
Bell In Hand,BOSTON,1,2.666666667,2,2.428571429,0,2.233333333
Sunny Cafe,EAST BOSTON,,,1,2.571428571,,2.222222222
Courtyard Marriott Logan Airport,EAST BOSTON,,,0,2.5,,2.222222222
Father and Son,BRIGHTON,2.6,1,1,1.666666667,,2.217391304
Casa Cuong,ROXBURY,1.6,2.2,3,1.6,,2.214285714
Tsushi Inc.,BOSTON,2.4,2.357142857,0,2.222222222,1,2.213114754
Koy,BOSTON,1,2,2.666666667,2.333333333,3,2.205882353
Vanderbilt Food Trolly @107 Ave Louis Pasteur,BOSTON,2.086956522,3,2.571428571,1.764705882,,2.196428571
State Street Sushi,BOSTON,,1.923076923,2.6,2.068965517,2,2.193548387
Bodega Canal,BOSTON,,,0,2.222222222,3,2.19047619
Kamakura,BOSTON,,,,0,2.4,2.181818182
Cibao Market,ROSLINDALE,2.333333333,2.333333333,2.666666667,1.5,,2.172413793
Samurai Express,BOSTON,2.444444444,2.62962963,1.818181818,1.523809524,,2.168831169
Charlestown Cafe  Inc.,CHARLESTOWN,,,,2.4,1,2.166666667
Noon Mediterranean Grill,BOSTON,,1,0,2.5,3,2.153846154
Jones Hill Variety,DORCHESTER,1,2.5,1,3,,2.142857143
BALTIC DELI,SOUTH BOSTON,1.333333333,2.375,2.166666667,2.368421053,,2.118644068
Cosi No. 305,BOSTON,,,1.428571429,2.6,,2.117647059
